title	summary	Scale	Context (tokens)	License	Date	Decoder type	Attention	Layer mix	KV cache / token (bf16) info	Key detail	View in article	config.json	Tech report	AA Intelligence Index info	From scratch	Vocabulary	params.json
GPT-2 XL (1.5B)	Late-2019 dense baseline included here as a reference point for how much decoder stacks have changed since GPT-2.	1.5B parameters	1,024	"OpenAI ""Modified MIT"" license"	2019-11-05	Dense	MHA with learned absolute positional embeddings	48 MHA	300 KiB · High	Classic GPT-2 recipe with dropout, GELU, LayerNorm, and full multi-head attention.	https://magazine.sebastianraschka.com/p/from-gpt-2-to-gpt-oss-analyzing-the#%C2%A72-coming-from-gpt-2	https://huggingface.co/openai-community/gpt2-xl/blob/main/config.json	https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf				
Llama 3 (8B)	Reference dense Llama stack used to contrast OLMo 2's normalization and attention choices.	8B parameters	8,192	https://huggingface.co/meta-llama/Meta-Llama-3-8B/blob/main/LICENSE	2024-04-18	Dense	GQA with RoPE	32 GQA	128 KiB · Moderate	Pre-norm baseline; wider than OLMo 2 at a similar scale.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A723-olmo-2-summary	https://huggingface.co/meta-llama/Meta-Llama-3-8B/blob/main/config.json	https://arxiv.org/pdf/2407.21783	Total score  6.0	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/07_gpt_to_llama		
Llama 3.2 (1B)	Small dense Llama baseline in the Qwen comparison, with fewer layers but more width.	1B parameters	128,000	https://huggingface.co/meta-llama/Llama-3.2-1B/blob/main/LICENSE.txt	2024-09-25	Dense	GQA	16 GQA	32 KiB · Low	Wider architecture with more heads than Qwen3 0.6B.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A761-qwen3-dense			Total score  6.3      General  17.0    Scientific  7.6    Coding  0.6    Agents  0.0	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/07_gpt_to_llama		
Llama 3.2 (3B)	Small Llama baseline used to show how closely Nanbeige follows the mainstream compact decoder recipe.	3B parameters	128,000	https://huggingface.co/meta-llama/Llama-3.2-3B/blob/main/LICENSE.txt	2024-09-25	Dense	GQA	28 GQA	112 KiB · Moderate	Reference small-model Llama architecture with tied embeddings.	https://magazine.sebastianraschka.com/p/a-dream-of-spring-for-open-weight#%C2%A77-nanbeige-41-3b-a-strong-llama-3-successor			Total score  9.7			
OLMo 2 (7B)	Transparent dense model that keeps classic MHA and pushes normalization changes for training stability.	7B parameters	4,096	Apache License 2.0	2024-11-25	Dense	MHA with QK-Norm	32 MHA	512 KiB · Very high	Uses inside-residual post-norm instead of the usual pre-norm layout.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A723-olmo-2-summary	https://huggingface.co/allenai/OLMo-2-1124-7B-Instruct/blob/main/config.json	https://arxiv.org/pdf/2501.00656	Total score  9.0			
Phi-4 (14B)	Microsoft's 14B dense Phi refresh stays close to Phi-3-medium but swaps its sliding-window attention for full-context GQA and a larger tokenizer.	14B parameters	16,384	https://huggingface.co/microsoft/phi-4/blob/main/LICENSE	2024-12-12	Dense	GQA with RoPE	40 GQA	200 KiB · High	Classic pre-norm RMSNorm stack with GQA, 40 heads, 10 KV heads, and a 100,352-token vocabulary.		https://huggingface.co/microsoft/phi-4/blob/main/config.json	https://arxiv.org/pdf/2412.08905	Total score  10.4      General  14.0    Scientific  16.4    Coding  11.2    Agents  0.0			
DeepSeek V3 (671B)	DeepSeek's flagship template kicked off the recent wave of large open MoE models.	671B total, 37B active (5.5% active)	128,000	https://huggingface.co/deepseek-ai/DeepSeek-V3/blame/main/LICENSE-MODEL	2024-12-26	Sparse MoE	MLA	61 MLA	68.6 KiB · Low	Uses a dense prefix, shared expert, and MTP-1 objective to keep a very large model practical.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A75-llama-4	https://huggingface.co/deepseek-ai/DeepSeek-V3/blob/main/config.json	https://arxiv.org/pdf/2412.19437	Total score  16.5      General  24.9    Scientific  15.7    Coding  16.4    Agents  8.8			
DeepSeek R1 (671B)	Reasoning-tuned DeepSeek model built on the V3 architecture rather than a new base design.	671B total, 37B active (5.5% active)	128,000	https://huggingface.co/deepseek-ai/DeepSeek-R1/blob/main/LICENSE	2025-01-20	Sparse MoE	MLA	61 MLA	68.6 KiB · Low	Architecture matches DeepSeek V3, including the MTP-1 path; the main change is the reasoning-oriented training recipe.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A78-kimi-k2-and-kimi-k2-thinking	https://huggingface.co/deepseek-ai/DeepSeek-R1/blob/main/config.json	https://arxiv.org/pdf/2501.12948	Total score  18.8      General  33.1    Scientific  22.5    Coding  15.9    Agents  3.8			
Gemma 3 (27B)	Gemma's flagship text stack leans on local attention more aggressively than Gemma 2.	27B parameters	128,000	https://ai.google.dev/gemma/prohibited_use_policy	2025-03-11	Dense	GQA with QK-Norm and 5:1 sliding-window/global attention	52 sliding-window + 10 global	496 KiB · Very high	Built around a 27B sweet spot with heavier local attention and a large 262k multilingual vocabulary.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A74-mistral-small-31	https://huggingface.co/google/gemma-3-27b-it/blob/main/config.json	https://arxiv.org/pdf/2503.19786	Total score  10.3      General  15.1    Scientific  13.0    Coding  9.6    Agents  3.5	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3	262,144 (~262k)	
xLSTM (7B)	Recurrent 7B language model that replaces self-attention with xLSTM blocks built around matrix memory.	7B parameters	No explicit limit	https://huggingface.co/NX-AI/xLSTM-7b/blob/main/LICENSE	2025-03-17	Recurrent	No self-attention; mLSTM recurrent layers with matrix memory	32 mLSTM	0 B · No cache	Stateful recurrent architecture aimed at fast long-context inference without an explicit context window.		https://huggingface.co/NX-AI/xLSTM-7b/blob/main/config.json	https://arxiv.org/abs/2503.13427				
